FREQ,Frequency,REF_AREA,Territory,DATA_TYPE,Indicator,MEASURE,Measure (DESC),ECOICOP_2,ECOICOP 2,TIME_PERIOD,Observation,OBS_STATUS,Observation status
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,OR0,ECOICOP_2,2026-01,..,t,Title for the grouping
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,OR0,ECOICOP_2,2026-02,..,t,Title for the grouping
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,OR0,ECOICOP_2,2026-03,..,t,Title for the grouping
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,OR0,ECOICOP_2,2026-04,..,t,Title for the grouping
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,00,Indice generale,2025-04,100.5,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,00,Indice generale,2025-05,100.4,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,00,Indice generale,2025-06,100.6,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,00,Indice generale,2025-07,99.7,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,00,Indice generale,2025-08,99.5,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,00,Indice generale,2025-09,100.7,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,00,Indice generale,2025-10,100.6,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,00,Indice generale,2025-11,100.3,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,00,Indice generale,2025-12,100.5,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,00,Indice generale,2026-01,99.5,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,00,Indice generale,2026-02,100,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,00,Indice generale,2026-03,101.7,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,00,Indice generale,2026-04,103.4,p,Provisional data
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,01,Prodotti alimentari e bevande analcoliche,2025-04,99.7,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,01,Prodotti alimentari e bevande analcoliche,2025-05,100.2,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,01,Prodotti alimentari e bevande analcoliche,2025-06,100.2,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,01,Prodotti alimentari e bevande analcoliche,2025-07,100.3,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,01,Prodotti alimentari e bevande analcoliche,2025-08,100.6,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,01,Prodotti alimentari e bevande analcoliche,2025-09,100.5,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,01,Prodotti alimentari e bevande analcoliche,2025-10,100.4,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,01,Prodotti alimentari e bevande analcoliche,2025-11,100.5,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,01,Prodotti alimentari e bevande analcoliche,2025-12,100.5,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,01,Prodotti alimentari e bevande analcoliche,2026-01,101.3,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,01,Prodotti alimentari e bevande analcoliche,2026-02,101.4,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,01,Prodotti alimentari e bevande analcoliche,2026-03,101.8,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,01,Prodotti alimentari e bevande analcoliche,2026-04,103,p,Provisional data
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,011,Prodotti Alimentari,2025-04,99.8,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,011,Prodotti Alimentari,2025-05,100.3,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,011,Prodotti Alimentari,2025-06,100.2,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,011,Prodotti Alimentari,2025-07,100.2,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,011,Prodotti Alimentari,2025-08,100.4,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,011,Prodotti Alimentari,2025-09,100.4,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,011,Prodotti Alimentari,2025-10,100.3,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,011,Prodotti Alimentari,2025-11,100.4,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,011,Prodotti Alimentari,2025-12,100.4,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,011,Prodotti Alimentari,2026-01,101.2,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,011,Prodotti Alimentari,2026-02,101.4,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,011,Prodotti Alimentari,2026-03,101.7,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0111,Cereali e prodotti a base di cereali,2025-04,99.9,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0111,Cereali e prodotti a base di cereali,2025-05,100,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0111,Cereali e prodotti a base di cereali,2025-06,100.2,,
