FREQ,Frequency,REF_AREA,Territory,DATA_TYPE,Indicator,ECOICOP_2,ECOICOP 2,TIME_PERIOD,Observation,OBS_STATUS,Observation status
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,OR0,ECOICOP_2,2026,..,t,Title for the grouping
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,00,Indice generale,1996,1000000,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,00,Indice generale,1997,1000000,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,00,Indice generale,1998,1000000,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,00,Indice generale,1999,1000000,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,00,Indice generale,2000,1000000,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,00,Indice generale,2001,1000000,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,00,Indice generale,2002,1000000,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,00,Indice generale,2003,1000000,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,00,Indice generale,2004,1000000,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,00,Indice generale,2005,1000000,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,00,Indice generale,2006,1000000,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,00,Indice generale,2007,1000000,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,00,Indice generale,2008,1000000,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,00,Indice generale,2009,1000000,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,00,Indice generale,2010,1000000,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,00,Indice generale,2011,1000000,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,00,Indice generale,2012,1000000,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,00,Indice generale,2013,1000000,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,00,Indice generale,2014,1000000,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,00,Indice generale,2015,1000000,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,00,Indice generale,2016,1000000,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,00,Indice generale,2017,1000000,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,00,Indice generale,2018,1000000,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,00,Indice generale,2019,1000000,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,00,Indice generale,2020,1000000,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,00,Indice generale,2021,1000000,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,00,Indice generale,2022,1000000,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,00,Indice generale,2023,1000000,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,00,Indice generale,2024,1000000,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,00,Indice generale,2025,1000000,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,00,Indice generale,2026,1000000,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,01,Prodotti alimentari e bevande analcoliche,1996,186161,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,01,Prodotti alimentari e bevande analcoliche,1997,186161,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,01,Prodotti alimentari e bevande analcoliche,1998,186161,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,01,Prodotti alimentari e bevande analcoliche,1999,169402,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,01,Prodotti alimentari e bevande analcoliche,2000,165650,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,01,Prodotti alimentari e bevande analcoliche,2001,162803,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,01,Prodotti alimentari e bevande analcoliche,2002,162844,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,01,Prodotti alimentari e bevande analcoliche,2003,159359,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,01,Prodotti alimentari e bevande analcoliche,2004,160869,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,01,Prodotti alimentari e bevande analcoliche,2005,158408,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,01,Prodotti alimentari e bevande analcoliche,2006,154416,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,01,Prodotti alimentari e bevande analcoliche,2007,163998,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,01,Prodotti alimentari e bevande analcoliche,2008,168844,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,01,Prodotti alimentari e bevande analcoliche,2009,168032,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,01,Prodotti alimentari e bevande analcoliche,2010,165324,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,01,Prodotti alimentari e bevande analcoliche,2011,162227,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,01,Prodotti alimentari e bevande analcoliche,2012,159786,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,01,Prodotti alimentari e bevande analcoliche,2013,159283,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,01,Prodotti alimentari e bevande analcoliche,2014,163728,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,01,Prodotti alimentari e bevande analcoliche,2015,165266,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,01,Prodotti alimentari e bevande analcoliche,2016,165706,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,01,Prodotti alimentari e bevande analcoliche,2017,164968,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,01,Prodotti alimentari e bevande analcoliche,2018,165103,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,01,Prodotti alimentari e bevande analcoliche,2019,163321,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,01,Prodotti alimentari e bevande analcoliche,2020,162085,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,01,Prodotti alimentari e bevande analcoliche,2021,193228,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,01,Prodotti alimentari e bevande analcoliche,2022,183521,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,01,Prodotti alimentari e bevande analcoliche,2023,170816,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,01,Prodotti alimentari e bevande analcoliche,2024,171711,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,01,Prodotti alimentari e bevande analcoliche,2025,171069,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,01,Prodotti alimentari e bevande analcoliche,2026,172256,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,011,Prodotti Alimentari,1996,177317,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,011,Prodotti Alimentari,1997,177317,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,011,Prodotti Alimentari,1998,177317,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,011,Prodotti Alimentari,1999,158415,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,011,Prodotti Alimentari,2000,154671,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,011,Prodotti Alimentari,2001,151841,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,011,Prodotti Alimentari,2002,151928,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,011,Prodotti Alimentari,2003,148119,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,011,Prodotti Alimentari,2004,149990,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,011,Prodotti Alimentari,2005,147738,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,011,Prodotti Alimentari,2006,144244,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,011,Prodotti Alimentari,2007,152696,,
