DATAFLOW,LAST UPDATE,freq,unit,coicop,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Core inflation differential vis-à-vis the euro area,"Overall index excluding energy, food, alcohol and tobacco",Italy,2010,0.7,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Core inflation differential vis-à-vis the euro area,"Overall index excluding energy, food, alcohol and tobacco",Italy,2016,-0.3,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Core inflation differential vis-à-vis the euro area,"Overall index excluding energy, food, alcohol and tobacco",Italy,2017,-0.2,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Core inflation differential vis-à-vis the euro area,"Overall index excluding energy, food, alcohol and tobacco",Italy,2018,-0.4,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Core inflation differential vis-à-vis the euro area,"Overall index excluding energy, food, alcohol and tobacco",Italy,2019,-0.5,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Core inflation differential vis-à-vis the euro area,"Overall index excluding energy, food, alcohol and tobacco",Italy,2020,-0.2,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Core inflation differential vis-à-vis the euro area,"Overall index excluding energy, food, alcohol and tobacco",Italy,2021,-0.7,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Core inflation differential vis-à-vis the euro area,"Overall index excluding energy, food, alcohol and tobacco",Italy,2022,-0.7,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Core inflation differential vis-à-vis the euro area,"Overall index excluding energy, food, alcohol and tobacco",Italy,2023,-0.4,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Core inflation differential vis-à-vis the euro area,"Overall index excluding energy, food, alcohol and tobacco",Italy,2024,-0.6,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Core inflation differential vis-à-vis the euro area,"Overall index excluding energy, food, alcohol and tobacco",Italy,2025,-0.5,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Annual average index,Administered prices,Italy,2010,84.2,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Annual average index,Administered prices,Italy,2016,98.6,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Annual average index,Administered prices,Italy,2017,100.2,b,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Annual average index,Administered prices,Italy,2018,102.3,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Annual average index,Administered prices,Italy,2019,104.1,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Annual average index,Administered prices,Italy,2020,100.5,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Annual average index,Administered prices,Italy,2021,107.5,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Annual average index,Administered prices,Italy,2022,129.9,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Annual average index,Administered prices,Italy,2023,132.6,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Annual average index,Administered prices,Italy,2024,131.2,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Annual average index,Administered prices,Italy,2025,132.6,,
